sample_id,speed_rpm,feed_rate,depth_of_cut,coolant_temp,spindle_load,dimension_error,is_defect,material_removal_rate,mat_45#钢,mat_不锈钢,mat_铝合金,speed_rpm_z,feed_rate_z,depth_of_cut_z,coolant_temp_z,spindle_load_z,material_removal_rate_z
S0182,1662.6,0.159,2.93,47.9,48.0,0.0661,1,0.4659,1,0,0,0.18683,-1.18579,1.00606,1.15917,-0.97492,-0.26166
S0183,1689.2,0.291,1.27,33.7,70.7,0.0079,0,0.3696,0,0,1,0.25666,0.10742,-0.80902,-0.44039,0.27227,-0.57408
S0184,1832.9,0.342,3.77,25.9,41.2,0.0446,0,1.2893,1,0,0,0.63387,0.60708,1.92454,-1.31902,-1.34853,2.40969
S0185,1256.4,0.128,0.78,48.8,46.5,0.0103,0,0.0998,0,0,1,-0.87945,-1.4895,-1.3448,1.26055,-1.05734,-1.44939
S0186,1574.8,0.124,3.14,29.0,67.4,0.0016,0,0.3894,1,0,0,-0.04364,-1.52869,1.23568,-0.96982,0.09096,-0.50984
S0187,1592.8,0.214,1.6,42.1,94.6,0.0451,0,0.3424,0,0,1,0.00361,-0.64695,-0.44819,0.50583,1.58539,-0.66233
S0188,978.2,0.297,3.66,27.3,76.4,0.1092,1,1.087,1,0,0,-1.60972,0.16621,1.80426,-1.16131,0.58544,1.75337
S0189,1485.5,0.365,1.65,41.9,82.7,0.012,0,0.6022,1,0,0,-0.27806,0.83241,-0.39352,0.4833,0.93158,0.18054
S0190,2190.2,0.424,2.28,47.3,66.3,0.0011,0,0.9667,1,0,0,1.57179,1.41044,0.29533,1.09159,0.03052,1.36308
S0191,1881.9,0.145,3.23,45.5,77.5,0.0728,1,0.4684,1,0,0,0.7625,-1.32295,1.33409,0.88883,0.64587,-0.25355
S0192,2118.0,0.294,1.51,33.9,61.8,0.0067,0,0.4439,1,0,0,1.38226,0.13682,-0.5466,-0.41786,-0.21672,-0.33303
S0193,2095.2,0.274,3.77,47.5,47.5,0.0212,0,1.033,0,0,1,1.32241,-0.05913,1.92454,1.11412,-1.0024,1.57818
S0194,2041.4,0.404,3.16,45.7,53.3,0.0908,1,1.2766,1,0,0,1.18119,1.2145,1.25755,0.91135,-0.68373,2.36848
S0195,1803.4,0.221,3.72,41.2,84.3,0.1582,1,0.8221,1,0,0,0.55644,-0.57837,1.86987,0.40445,1.01948,0.89396
S0196,1553.3,0.24,0.98,33.0,39.1,0.0663,1,0.2352,1,0,0,-0.10008,-0.39223,-1.12612,-0.51924,-1.46391,-1.01011
S0197,1614.4,0.438,1.93,31.4,65.4,0.0242,0,0.8453,0,1,0,0.06031,1.5476,-0.08736,-0.69947,-0.01893,0.96922
S0198,1705.5,0.328,1.0,23.8,81.8,0.0081,0,0.328,1,0,0,0.29945,0.46992,-1.10425,-1.55557,0.88213,-0.70904
S0199,2193.3,0.12,2.79,51.5,49.4,0.0626,1,0.3348,1,0,0,1.57993,-1.56788,0.85298,1.5647,-0.89801,-0.68698
S0200,981.0,0.278,3.79,46.4,71.9,0.0993,1,1.0536,0,0,1,-1.60237,-0.01994,1.94641,0.99021,0.3382,1.64501
